"customer_id","AGE","INCOME","GENDER","EDUCATION","LOAN_PURPOSE","APPLICATION_RECEIVE_TIME","HAS_APPLIED_BEFORE","HAS_INCOME_VERIFICATION","LOAN_WAS_PAID_BACK"
36493,40,1e+07,"Female","Diploma","Working Capital",09:07:00,"No","Yes",1
36494,39,1.5e+07,"Female","Bachelor Degree","Other",15:15:00,"No","Yes",1
36495,28,1.5e+07,"Male","Bachelor Degree","Renovation",07:13:00,"No","Yes",1
36496,28,4e+06,"Male","Bachelor Degree","Renovation",12:05:00,"Yes","Yes",1
36497,38,1e+07,"Male","Diploma","Renovation",14:35:00,"Yes","Yes",0
36498,47,8e+06,"Female","Master's Degree/Post graduate","Renovation",02:47:00,"No","Yes",1
36499,36,8e+06,"Male","Bachelor Degree","Credit card",22:54:00,"No","Yes",1
36500,29,1.4e+07,"Female","Bachelor Degree","Renovation",19:30:00,"Yes","Yes",0
36501,40,8e+06,"Male","Diploma","Working Capital",09:08:00,"No","Yes",1
36502,41,4e+06,"Male","Bachelor Degree","Credit card",13:31:00,"No","Yes",1
36503,27,1.1e+07,"Male","Bachelor Degree","Renovation",15:41:00,"No","Yes",1
36504,36,1.5e+07,"Male","Bachelor Degree","Working Capital",06:44:00,"No","Yes",1
36505,36,2.1e+07,"Female","Bachelor Degree","Renovation",06:12:00,"No","Yes",1
36506,24,4e+06,"Female","Bachelor Degree","Education",10:26:00,"Yes","Yes",1
36507,35,4e+06,"Female","High School","Renovation",23:27:00,"No","Yes",1
36508,45,3.5e+07,"Male","Bachelor Degree","Credit card",07:05:00,"No","Yes",1
36509,40,6e+06,"Male","Diploma","Credit card",12:32:00,"No","Yes",1
36510,44,5e+06,"Male","Bachelor Degree","Investment",17:48:00,"No","Yes",1
36511,30,4e+06,"Male","Bachelor Degree","Credit card",08:13:00,"Yes","Yes",1
36512,40,6e+06,"Female","Bachelor Degree","Working Capital",10:31:00,"Yes","Yes",0
36513,38,8e+06,"Female","Bachelor Degree","Renovation",20:29:00,"Yes","Yes",1
36514,31,3e+06,"Male","Bachelor Degree","Renovation",12:27:00,"No","Yes",1
36515,34,6e+06,"Male","Bachelor Degree","Credit card",12:17:00,"No","Yes",1
36516,35,1e+07,"Male","Diploma","Other",18:21:00,"No","No",1
36517,39,6e+06,"Male","Diploma","Renovation",21:46:00,"No","Yes",1
36518,29,6e+06,"Male","Bachelor Degree","Investment",07:51:00,"No","Yes",1
36519,38,1.8e+07,"Female","Diploma","Renovation",11:27:00,"No","Yes",1
36520,46,1e+07,"Female","Bachelor Degree","Working Capital",09:57:00,"Yes","Yes",1
36521,34,3.5e+07,"Female","Bachelor Degree","Venture capital",14:44:00,"No","Yes",1
36522,38,2.5e+07,"Male","Diploma","Credit card",09:14:00,"No","Yes",1
36523,29,1.3e+07,"Male","Bachelor Degree","Electronic unsecured loan",10:06:00,"No","Yes",1
36524,37,7e+06,"Female","Bachelor Degree","Working Capital",12:36:00,"Yes","Yes",1
36525,30,3e+06,"Male","Bachelor Degree","Credit card",12:40:00,"No","Yes",1
36526,29,6e+06,"Male","Bachelor Degree","Working Capital",10:35:00,"Yes","Yes",0
